id,question
"61","Có nhà 35m² ở Hoàng Mai giá loanh quanh 3 tỷ không?"
"62","Cho xem nhà lớn hơn 72m2 tại Long Biên giá tầm 7 tỷ đổ xuống"
"63","Có nhà nào ở Long Biên diện tích lớn hơn 72m² giá tầm 7 tỷ không?"
"64","Muốn mua nhà diện tích hơn 72m² ở Long Biên giá khoảng 7 tỷ đổ về?"
"65","Có nhà ở Long Biên diện tích lớn hơn 72m giá dưới 7 tỷ không?"
"66","Cần biệt thự lớn hơn 70m2 ở Tây Hồ giá dưới 20 tỷ"
"67","Cần mua biệt thự tại Tây Hồ diện tích >70m² giá khoảng 20 tỷ đổ lại"
"68","Cần mua biệt thự diện tích hơn 70m² ở Tây Hồ giá không quá 20 tỷ"
"69","Có biệt thự nào diện tích >70m² ở Tây Hồ giá tầm dưới 20 tỷ không?"
"70","Nhà 45m2 tại Đống Đa giá 4 tỷ"
"71","Cần mua nhà diện tích 45m² tại Đống Đa giá tầm 4 tỷ "
"72","Tư vấn giúp tôi nhà 45m² tại Đống Đa giá khoảng 4 tỷ"
"73","Có nhà 45m² ở Đống Đa giá loanh quanh 4 tỷ không?"
"74","Có nhà nhỏ 30m2 tại Ba Đình giá dưới 4 tỷ không?"
"75","Cần mua nhà diện tích 30m² tại Ba Đình giá tầm 4 tỷ đổ lại thôi"
"76","Cần mua nhà diện tích 30m² ở Ba Đình giá không quá 4 tỷ"
"77","Tư vấn giúp tôi nhà nhỏ 30m² ở Ba Đình giá dưới 4 tỷ"
"78","Tìm nhà hướng Tây diện tích khoảng 60m2 ở Thanh Xuân"
"79","Có nhà nào hướng Tây ở Thanh Xuân diện tích khoảng 60m² không?"
"80","Cần nhà hướng Tây tại Thanh Xuân diện tích khoảng 55–65m²"
"81","Có thể gợi ý giúp tôi vài căn nhà hướng Tây ở Thanh Xuân diện tích tầm 60m² không?"
"82","Có nhà hướng Tây tứ trạch diện tích 30-50m2 tại Long Biên không?"
"83","Có căn nhà nào tại Long Biên diện tích 30–50m² hướng Tây tứ trạch không?"
"84","Tư vấn giúp tôi nhà hướng Tây tứ trạch tại Long Biên diện tích từ 30 đến 50m²"
"85","Nhà hướng Nam 5 tầng tại Thanh Xuân"
"86","Nhà hướng Nam tại Thanh Xuân cao khoảng 5 tầng có không?"
"87","Có thể gợi ý giúp tôi vài căn nhà hướng Nam ở Thanh Xuân 5 tầng không?"
"88","Cho tôi xem nhà hướng Nam ở Tây Hồ"
"89","Có căn nhà nào ở Tây Hồ hướng Nam không?"
"90","Nhà hướng Nam tại Tây Hồ diện tích 50–70m² có không?"
"91","Tìm nhà sổ đỏ chính chủ đầy đủ nội thất ở Thanh Xuân"
"92"," Có căn nhà nào tại Thanh Xuân được trang bị đầy đủ nội thất không?"
"93","Tôi cần mua nhà tại Thanh Xuân có sẵn nội thất chỉ việc dọn vào ở"
"94","Tìm bất động sản ở Thanh Xuân đầy đủ nội thất tiện nghi hiện đại."
"95","Tôi muốn mua nhà ở Thanh Xuân được trang bị nội thất đầy đủ. Hãy giới thiệu cho tôi với"
"96","Tìm giúp tôi nhà 4 tầng khu Long Biên được trang bị nội thất đầy đủ"
"97","Có căn nhà 4 tầng nào tại Long Biên đầy đủ nội thất không?"
"98","Tôi cần mua nhà 4 tầng ở Long Biên đầy đủ đồ đạc nội thất sẵn ở"
"99","Tìm nhà 4 tầng full nội thất ở Long Biên, bạn hãy tìm giúp tôi với ?"
"100"," Tôi muốn tìm nhà ở Cầu Giấy sổ đỏ chính chủ nhà đẹp giá khoảng 5 tỷ"
"101"," Tìm nhà sổ đỏ đẹp ở Cầu Giấy khoảng 5 tỷ"
"102"," Có căn nhà nào tại quận Cầu Giấy sổ đỏ chính chủ thiết kế đẹp tầm giá 5 tỷ không?"
"103"," Tôi muốn mua nhà ở Cầu Giấy sổ đỏ chính chủ kiến trúc đẹp hiện đại"
"104","Tôi cần mua nhà ở Cầu Giấy pháp lý sổ đỏ giá khoảng 5 tỷ nhà mới đẹp"
"105","Tìm nhà nhỏ hơn 40m2 ở Hà Đông có sổ"
"106"," Tìm nhà nhỏ hơn 40m2 ở Hà Đông có sổ đỏ chính chủ"
"107","Tìm nhà sổ đỏ chính chủ nhỏ hơn 40m2 ở Hà Đông"
"108","Tôi muốn tìm nhà ở Hà Đông sổ đỏ chính chủ diện tích khoảng 35m²"
"109","Có căn nhà nhỏ khoảng 35m² nào ở Hà Đông sổ đỏ chính chủ không?"
"110","Tìm nhà ở Hà Đông diện tích tầm 40 mét vuông có sổ đỏ chính chủ"
"111"," Cho tôi xem các căn nhà 5 tầng tại Hoàng Mai chính chủ có sổ đỏ gần chợ."
"112"," Tìm nhà 5 tầng tại Hoàng Mai pháp lý sổ đỏ chính chủ vị trí gần chợ."
"113"," Tôi muốn mua nhà 5 tầng ở Hoàng Mai có sổ đỏ chính chủ thuận tiện gần chợ."
"114"," Cần nhà 5 tầng sổ đỏ chính chủ gần chợ ở Hoàng Mai"
"115","Có căn nhà 5 tầng nào tại quận Cầu Giấy đầy đủ nội thất và có sổ đỏ chính chủ không?"
"116","Tôi cần mua nhà 5 tầng ở Cầu Giấy có sổ nội thất trang bị sẵn."
"117","Tìm nhà 5 tầng tại Cầu Giấy được trang bị nội thất đầy đủ pháp lý có sổ đỏ chính chủ."
"118","Cho tôi xem các căn nhà 5 tầng tại Cầu Giấy đầy đủ tiện nghi pháp lý có sổ."
"119","Có nhà 5 tầng nào ở Cầu Giấy đầy đủ tiện nghi nội thất có sổ đỏ không?"
"120","Tìm nhà 5 tầng tại cầu giấy nội thất đầy đủ và có sổ"
"121","Tôi muốn tìm bất động sản 5 tầng ở Hai Bà Trưng sổ đỏ chính chủ đầy đủ nội thất"
"122","Có bất động sản nào 5 tầng tại Hai Bà Trưng sổ đỏ chính chủ đã có nội thất không?"
"123","Tôi cần mua bất động sản 5 tầng ở Hai Bà Trưng có sổ đỏ nội thất hoàn thiện"
"124","Tìm bất động sản 5 tầng tại quận Hai Bà Trưng có sổ đỏ chính chủ đã có nội "
"125","Tìm nhà sổ đỏ có phòng thờ và sân phơi tại Hai Bà Trưng"
"126","Có căn nhà nào ở Hai Bà Trưng có sân phơi và phòng thờ, có sổ đỏ không?"
"127","Tìm mua nhà có sổ đỏ tại Hai Bà Trưng có cả phòng thờ và sân phơi"
"128","Có nhà nào ở Hai Bà Trưng sổ đỏ có phòng thờ và sân phơi không bạn?"
"129","Mình muốn mua nhà có sổ đỏ và ở khu Hai Bà Trưng có phòng thờ và sân phơi"
"130","Tìm nhà gần đại học Bách Khoa ở Hai Bà Trưng"
"131","Cần mua nhà gần trường Đại học Bách Khoa tại Hai Bà Trưng"
"132","Có thể gợi ý giúp tôi vài căn nhà gần Đại học Bách Khoa ở Hai Bà Trưng không?"
"133","Có nhà nào ở Hai Bà Trưng gần Đại học Bách Khoa không bạn?"
"134","Tìm nhà ở Thanh Xuân gần trung tâm thương mại"
"135","Tôi muốn tìm nhà ở quận Thanh Xuân gần trung tâm thương mại."
"136","Tìm giúp tôi nhà ở Thanh Xuân gần khu trung tâm thương mại."
"137","Có căn nhà nào ở Thanh Xuân vị trí thuận tiện gần trung tâm thương mại không?"
"138","Có căn nhà 4 tầng nào tại quận Cầu Giấy vị trí gần công viên không?"
"139","Tôi cần mua nhà 4 tầng ở Cầu Giấy gần công viên để tiện đi dạo."
"140","Tìm nhà 4 tầng ở Cầu Giấy gần khu công viên nhiều cây xanh."
"141","Tìm nhà 4 tầng khu Cầu Giấy có vị trí gần công viên để tiện sinh hoạt"
"142","Cho tôi xem nhà 4 tầng Cầu Giấy gần công viên không khí thoáng mát"
"143","Cầu Giấy có nhà nào gần Đại học Quốc gia không?"
"144","Tìm nhà ở Cầu Giấy vị trí thuận tiện gần trường Đại học Quốc gia."
"145","Tôi cần nhà ở khu vực Cầu Giấy gần trường Đại học Quốc gia."
"146","Tìm nhà 5 tầng quận hoàng mai gần chợ siêu thị"
"147","Có căn nhà nào tại quận Hai Bà Trưng nằm gần bệnh viện không?"
"148","Tìm nhà 5 tầng tại long biên gần bệnh viện và khoảng 5 tỷ"
"149","Có căn nhà 5 tầng sổ đỏ chính chủ nào ở quận Hai Bà Trưng diện tích tầm 45m² gần chợ hoặc trường học không?"
"150","Tìm giúp tôi nhà 5 tầng tại Hai Bà Trưng sổ đỏ chính chủ diện tích khoảng 45m² gần chợ trường học."
"151","Cần mua nhà 5 tầng ở Hai Bà Trưng sổ đỏ chính chủ diện tích tầm 45 mét vuông gần chợ và trường học."
"152","Tìm nhà 5 tầng sổ đỏ đầy đủ pháp lý ở Hai Bà Trưng diện tích khoảng 45m² gần chợ và trường học."
"153","Có căn nhà nào tại Cầu Giấy gần trường Đại học Quốc gia Hà Nội không?"
"154","Tìm nhà gần trung tâm thương mại ở Thanh Xuân"
"155","Tìm nhà gần bệnh viện 108 tại Hai Bà Trưng"
"156","Có nhà 4 tầng sổ đỏ chính chủ ở Long Biên giá dưới 12 tỷ không?"
"157","Có căn nhà nào 4 tầng chính chủ sổ đỏ tại Long Biên giá dưới 12 tỷ không?"
"158","Tôi đang tìm nhà 4 tầng tại Long Biên sổ đỏ chính chủ giá khoảng 12 tỷ đổ về thôi."
"159","Gợi ý vài căn nhà 4 tầng Long Biên sổ đỏ chính chủ giá dưới 12 tỷ"
"160","Tư vấn giúp tôi nhà 4 tầng sổ đỏ chính chủ tại Long Biên giá dưới 12 tỷ"
"161","Mua nhà 4 tầng diện tích hơn 40m2 ở Hoàng Mai đầy đủ nội thất"
"162","Có căn nhà nào tại Hoàng Mai 4 tầng, diện tích trên 40m², nội thất đầy đủ không?"
"163","Cần mua nhà chính chủ 4 tầng tại Hoàng Mai diện tích hơn 40m² có nội thất"
"164","Có thể gợi ý giúp tôi vài căn nhà 4 tầng ở Hoàng Mai diện tích hơn 40m² có nội thất không?"
"165","Mình đang cần tìm để mua nhà 4 tầng khu Hoàng Mai diện tích 40m², có sẵn nội thất"
"166","Cần nhà 5 tầng diện tích lớn hơn 50m2 giá khoảng dưới 15 tỷ tại Cầu Giấy"
"167","Cần mua nhà 5 tầng diện tích lớn hơn 50m² tại Cầu Giấy giá khoảng 15 tỷ đổ lại"
"168","Có nhà 5 tầng ở Cầu Giấy diện tích lớn hơn 50m² giá loanh quanh 15 tỷ không?"
"169","Có thể gợi ý giúp tôi vài căn nhà 5 tầng ở Cầu Giấy diện tích >50m² giá dưới 15 tỷ không?"
